name,lat,lon
Paragliding,-12.1258932,-77.0374419
Hostal Roma,-12.0455044,-77.0344162
Hostal Porta,-12.1280978,-77.0334144
Plaza de la Bandera,-12.0675026,-77.0612073
Hotel El Chileno,-11.9899367,-77.0130305
Parque Cesar Vallejo,-12.0245167,-77.0502014
Escorpio,-11.9955132,-77.0148343
Augusto B. Leguia,-11.8671776,-77.0780907
La Fonda,-11.8691179,-77.0725984
Hostal Marcelos,-11.8655502,-77.0755828
Casa Yolanda,-12.0798423,-76.9967264
Casa Andina Standard – Miraflores San Antonio,-12.1302428,-77.0219279
Casa Yuyachakani,-12.0952395,-77.0731821
Entrada al Santuario del Amancay,-12.2067595,-76.8199226
Centro Cultural de España,-12.0705485,-77.0373706
El Pacifico,-12.1193415,-77.0295663
Boutique Hotel La Molina,-12.0623599,-76.9480684
Cinestar Metro San Juan,-12.0060801,-77.0047883
Monumento a José de San Martín,-12.1432817,-77.0231489
Arco de Salamanca,-12.0766769,-76.9896411
El Dinosaurio,-12.0360392,-77.0071339
D'Osma Bed & Breakfast Barranco,-12.1517018,-77.0225259
Cine Excelsior,-12.0494322,-77.0338878
UVK Multicines,-12.050696,-77.0348874
Casa JeremyGeek,-12.0272996,-76.9137998
Cinemark,-12.0849103,-76.9757476
Swissotel Lima,-12.0972483,-77.0381904
Circuito Mágico del Agua,-12.0710422,-77.0337701
Thunderbird carrera,-12.0831907,-77.0360241
Family backpakers,-12.1204759,-77.0418317
El Faro Inn,-12.1224222,-77.0394554
Embajadores Hotel - Miraflores,-12.1287846,-77.0326071
Casa Yllika,-12.0842194,-77.0450768
Museo de Ancón,-11.775178,-77.174065
Peru Star,-12.0895188,-77.0486372
Centro Cultural Ricardo Palma,-12.1254812,-77.0297335
Cajamarquilla,-11.9811111,-76.8966667
Catalina Huanca,-12.0484581,-76.913562
Lotización Ñaña,-11.9808333,-76.8336111
Fortaleza de Campoy,-12.0182979,-76.9759054
Palacio de Taurichumpi,-12.2548473,-76.8962628
Piramide Rampa 1,-12.2570406,-76.902311
Panteón,-11.8908333,-77.0719444
Petróleo,-11.8958333,-77.0725
Buena Vista,-11.7458333,-76.9641667
Huaca Collique,-11.9122222,-77.0402778
Huaca La Palma,-12.0684478,-77.0905055
Huaca Tres Palos,-12.0728501,-77.0841968
Placa en memoria del Fisico Teófilo Miranda Rojas,-12.0599203,-77.0817589
Inti Killa Hostel,-12.1197583,-77.0390966
Lima Wari,-12.1437535,-77.0220852
Dedalo,-12.1436943,-77.023911
Mocha Graña,-12.1435076,-77.0223266
Casa Hospedaje Queirolo,-12.481656,-76.7984557
Hotel Kamaná,-12.0480399,-77.03403
Cineplanet,-11.9907465,-77.0625031
Los Mirtos Suite & Hotel,-12.0892422,-77.0288992
Museo del Automovil Coleccion Nicolini,-12.0865746,-76.9086888
Casa Museo José Carlos Mariátegui,-12.0638765,-77.038975
Casa Museo Ricardo Palma,-12.1184154,-77.0276037
Casa de la Gastronomía Peruana,-12.0447247,-77.0312386
Amano Museo textil precolombino,-12.1140615,-77.0407663
Museo Aeronaútico del Perú,-12.1539647,-77.0010789
Museo Cementerio Presbítero Matías Maestro,-12.0422027,-77.0071787
Museo de los Colli,-11.9113963,-77.0261052
Museo Convento de Santo Domingo,-12.0440846,-77.0316136
Museo Electoral y de la Democracia,-12.0527035,-77.033465
Museo Etnográfico Amazónico del Centro Cultural José Pío Aza,-12.0431266,-77.0360474
Museo Geológico y Paleontológico (UNI),-12.0201511,-77.0476903
Museo George Petersen (PUCP),-12.0719814,-77.0815866
Museo Histórico de Ciencias Físicas (UNMSM),-12.0597934,-77.0817253
Ekotambo,-12.1197424,-77.0395474
"Museo Nacional de Antropología, Biodiversidad, Agricultura y Alimentación (UNALM)",-12.0737469,-77.0392903
"Museo Nacional de Arqueología, Antropología e Historia del Perú",-12.0773665,-77.0622797
Museo Panteón Nacional de los Próceres,-12.0540874,-77.032438
Museo Raimondi,-12.0738672,-76.9506692
"Museo Regional de Arqueología, Antropología e Historia Juan José Vega Tello",-11.8339416,-77.001056
Museo Victoria Chi Fu de Lam,-12.0816314,-77.0781405
Museo Universitario UNFV,-12.0474923,-77.0407621
Museo de Arte Fernando Saldias Díaz,-12.0877123,-77.0327382
Museo de Arte de San Marcos (UNMSM),-12.054372,-77.0320582
Museo de Historia Natural Vera Alleman,-12.1324264,-76.9808198
Museo de Minerales Andrés del Castillo,-12.052106,-77.0357405
Museo de Sitio Arturo Jiménez Borja,-12.0480822,-76.9344406
Museo de Sitio Huallamarca,-12.0968304,-77.040247
Museo de Sitio Huaca Pucllana,-12.1110699,-77.0333529
Museo de la Compañía de Bomberos La Salvadora 10,-12.052242,-77.0355669
Museo de la Identificación,-12.0562576,-77.0371166
Museo de la Inmigración Japonesa,-12.0876959,-77.0548991
Museo de Historia Policial,-12.0502034,-77.0229167
Museo y Catacumbas del Convento de San Francisco de Asis,-12.0452971,-77.0274314
Parque de la Imaginación,-12.0685356,-77.0823154
Pinacoteca Pancho Fierro,-12.0454279,-77.0312444
Hostal Patterson,-12.0258126,-77.0110141
Plaza de la Memoria,-12.0715455,-77.0798624
Soul Mate,-12.1151312,-77.0459818
Kankay Resort,-12.0647195,-76.7483413
Los Girasoles,-12.1218954,-77.0231186
511 Lima Hostel,-12.119628,-77.0419762
Mini Mundo,-12.0825992,-77.0448886
Mini-Mundo,-12.0827443,-77.0452293
La Marina,-12.0806847,-77.0877608
Hostal Lube,-12.0685633,-77.0542583
Mami Panchita,-12.0930477,-77.0776755
El Ducado,-12.1287333,-77.0321499
Hotel España,-12.0462117,-77.0270239
José Antonio Hoteles,-12.1265985,-77.0310299
Sala Luis Miró Quesada Garland,-12.1221423,-77.0292734
Mirador Catalina Recavarren,-12.1496829,-77.0235738
Suites del Bosque,-12.0973086,-77.0332969
Hostel Domeyer,-12.1478745,-77.0227897
Raúl Porras Barrenechea,-12.122,-77.0294932
Ozy Retreat,-12.3290647,-76.827679
Malecón Playa Chica,-11.7996383,-77.1791517
Centro Cultural El Olivar,-12.1015418,-77.0356762
Hostel Lima,-12.1161452,-77.0314825
White House Lima,-12.1181592,-77.0407506
Casa Falleri Boutique Hotel,-12.1442201,-77.0217436
Cineplanet Risso,-12.0867333,-77.0347646
Norky's,-12.0627875,-77.0962337
"Bufadero, suspiro del diablo",-12.3908086,-76.7835224
Boquerón del Diablo,-12.4820614,-76.8008533
Templo del Sol,-12.2626734,-76.9016889
Piramide Rampa 2,-12.2553523,-76.8993101
Casa de los Quipus,-12.2560044,-76.896438
Acllawasi,-12.2566479,-76.9053787
Templo Pintado,-12.2602609,-76.9013264
Cementerio Max Uhle,-12.259623,-76.9007186
Templo viejo,-12.2594395,-76.899812
Conjunto de Adobitos,-12.2553942,-76.9064387
Calle Norte-Sur,-12.2556572,-76.9014392
Golden Inn,-12.1322082,-76.9780844
Cinépolis,-12.0069165,-77.0584203
Plaza Perú,-12.0449049,-77.0307556
Plazuela Santo Domigo,-12.0445459,-77.0319325
Tienda de souvenir,-12.0446719,-77.0316857
Momento Taulichusco,-12.0454944,-77.0313686
José Olaya,-12.0468248,-77.0312417
